name,price,url,article_id,price_original,price_discounted,discount,pct_discount
Washed Linen Duvet Cover Set,$59.99 $129,http://www.hm.com/us/product/13472?article=13472-N,13472,129.0,59.99,0.5349612403100774,53.49612403100774
Candle in Glass Jar,$6.99 $17.99,http://www.hm.com/us/product/35079?article=35079-D,35079,17.99,6.99,0.6114508060033351,61.145080600333515
Glittery Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/72462?article=72462-A,72462,17.99,7.99,0.555864369093941,55.5864369093941
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-C,58926,12.99,6.99,0.4618937644341801,46.18937644341801
Stoneware Bowl,$17.99 $24.99,http://www.hm.com/us/product/74242?article=74242-A,74242,24.99,17.99,0.2801120448179272,28.011204481792717
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/70965?article=70965-D,70965,9.99,3.99,0.6006006006006006,60.06006006006006
Braided Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/62818?article=62818-B,62818,17.99,7.99,0.555864369093941,55.5864369093941
Jacquard-weave Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/69163?article=69163-B,69163,17.99,7.99,0.555864369093941,55.5864369093941
Scented Candle in Glass Holder,$9.99 $17.99,http://www.hm.com/us/product/40910?article=40910-C,40910,17.99,9.99,0.4446914952751528,44.46914952751528
2-pack Curtain Panels,$27.99 $34.99,http://www.hm.com/us/product/69699?article=69699-B,69699,34.99,27.99,0.2000571591883396,20.00571591883396
Porcelain Cup,$2.99 $5.99,http://www.hm.com/us/product/76916?article=76916-A,76916,5.99,2.99,0.5008347245409015,50.08347245409015
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-C,68473,5.99,2.99,0.5008347245409015,50.08347245409015
Color-block Cushion Cover,$9.99 $12.99,http://www.hm.com/us/product/74498?article=74498-A,74498,12.99,9.99,0.23094688221709006,23.094688221709006
King/Queen Duvet Cover Set,$39.99 $49.99,http://www.hm.com/us/product/41512?article=41512-E,41512,49.99,39.99,0.20004000800160032,20.004000800160032
Star-print Duvet Cover Set,$39.99 $49.99,http://www.hm.com/us/product/76727?article=76727-A,76727,49.99,39.99,0.20004000800160032,20.004000800160032
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76977?article=76977-A,76977,17.99,7.99,0.555864369093941,55.5864369093941
Patterned Duvet Cover Set,$19.99 $29.99,http://www.hm.com/us/product/73369?article=73369-A,73369,29.99,19.99,0.33344448149383127,33.344448149383126
Patterned Mug,$2.99 $5.99,http://www.hm.com/us/product/59417?article=59417-D,59417,5.99,2.99,0.5008347245409015,50.08347245409015
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/76797?article=76797-A,76797,17.99,7.99,0.555864369093941,55.5864369093941
Metal Tray,$14.99 $24.99,http://www.hm.com/us/product/76794?article=76794-A,76794,24.99,14.99,0.4001600640256102,40.01600640256102
Porcelain Serving Dish,$9.99 $24.99,http://www.hm.com/us/product/80432?article=80432-A,80432,24.99,9.99,0.6002400960384153,60.024009603841534
Metal Box,$7.99 $12.99,http://www.hm.com/us/product/78352?article=78352-A,78352,12.99,7.99,0.3849114703618168,38.49114703618168
Stoneware Jar,$7.99 $17.99,http://www.hm.com/us/product/70658?article=70658-A,70658,17.99,7.99,0.555864369093941,55.5864369093941
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-A,72111,9.99,4.99,0.5005005005005005,50.050050050050054
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-A,77665,12.99,9.99,0.23094688221709006,23.094688221709006
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/70603?article=70603-A,70603,17.99,7.99,0.555864369093941,55.5864369093941
Bottle Stopper,$3.99 $6.99,http://www.hm.com/us/product/72262?article=72262-B,72262,6.99,3.99,0.4291845493562232,42.91845493562232
Round Tray,$7.99 $17.99,http://www.hm.com/us/product/70427?article=70427-A,70427,17.99,7.99,0.555864369093941,55.5864369093941
Bottle Stopper,$2.99 $6.99,http://www.hm.com/us/product/72262?article=72262-A,72262,6.99,2.99,0.5722460658082975,57.22460658082975
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-B,77665,12.99,9.99,0.23094688221709006,23.094688221709006
2-pack Curtain Panels,$14.99 $34.99,http://www.hm.com/us/product/73380?article=73380-A,73380,34.99,14.99,0.5715918833952558,57.15918833952558
Candle in Glass Jar,$7.99 $17.99,http://www.hm.com/us/product/35079?article=35079-C,35079,17.99,7.99,0.555864369093941,55.5864369093941
Satin Duvet Cover Set,$24.99 $49.99,http://www.hm.com/us/product/74773?article=74773-A,74773,49.99,24.99,0.5001000200040009,50.01000200040009
Pile Throw,$29.99 $79.99,http://www.hm.com/us/product/75033?article=75033-A,75033,79.99,29.99,0.6250781347668459,62.50781347668459
Jacquard-weave Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/60637?article=60637-C,60637,12.99,4.99,0.6158583525789069,61.585835257890686
Patterned Duvet Cover Set,$19.99 $24.99,http://www.hm.com/us/product/70306?article=70306-A,70306,24.99,19.99,0.20008003201280514,20.008003201280513
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/60621?article=60621-B,60621,5.99,2.99,0.5008347245409015,50.08347245409015
Tall Stoneware Vase,$14.99 $34.99,http://www.hm.com/us/product/69643?article=69643-A,69643,34.99,14.99,0.5715918833952558,57.15918833952558
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-B,72455,17.99,6.99,0.6114508060033351,61.145080600333515
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72460?article=72460-B,72460,17.99,6.99,0.6114508060033351,61.145080600333515
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72462?article=72462-B,72462,17.99,6.99,0.6114508060033351,61.145080600333515
Wool-blend Rug,$99 $199,http://www.hm.com/us/product/71871?article=71871-A,71871,199.0,99.0,0.5025125628140703,50.25125628140703
Washed Linen Duvet Cover Set,$54.99 $99,http://www.hm.com/us/product/73734?article=73734-A,73734,99.0,54.99,0.4445454545454545,44.45454545454545
Cotton Velvet Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/74267?article=74267-A,74267,17.99,6.99,0.6114508060033351,61.145080600333515
Color-block Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/73344?article=73344-A,73344,12.99,4.99,0.6158583525789069,61.585835257890686
Scented Candle in Holder,$7.99 $17.99,http://www.hm.com/us/product/73325?article=73325-C,73325,17.99,7.99,0.555864369093941,55.5864369093941
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/74264?article=74264-A,74264,9.99,3.99,0.6006006006006006,60.06006006006006
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-A,72455,17.99,6.99,0.6114508060033351,61.145080600333515
Texture-patterned Plate,$4.99 $12.99,http://www.hm.com/us/product/70799?article=70799-B,70799,12.99,4.99,0.6158583525789069,61.585835257890686
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-D,68473,5.99,2.99,0.5008347245409015,50.08347245409015
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-C,72111,9.99,4.99,0.5005005005005005,50.050050050050054
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-B,58926,12.99,6.99,0.4618937644341801,46.18937644341801
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/58211?article=58211-A,58211,5.99,2.99,0.5008347245409015,50.08347245409015
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/75469?article=75469-A,75469,79.99,34.99,0.5625703212901613,56.257032129016125
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76982?article=76982-A,76982,17.99,7.99,0.555864369093941,55.5864369093941
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/74825?article=74825-A,74825,79.99,34.99,0.5625703212901613,56.257032129016125
Patterned Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/74263?article=74263-A,74263,5.99,2.99,0.5008347245409015,50.08347245409015
Sequined Table Runner,$14.99 $24.99,http://www.hm.com/us/product/78047?article=78047-A,78047,24.99,14.99,0.4001600640256102,40.01600640256102
Jacquard-weave Cushion Cover,$5.99 $12.99,http://www.hm.com/us/product/60637?article=60637-G,60637,12.99,5.99,0.5388760585065435,53.88760585065435
Cushion Cover with Tassels,$12.99 $17.99,http://www.hm.com/us/product/78381?article=78381-A,78381,17.99,12.99,0.27793218454697044,27.793218454697044
